source,target,role
"53570","8005","Broomhilde"
"53571","8005","Will Scarlet O'Hara"
"53572","51250","Dante"
"53572","8007","Capt. Rodway, USMC"
"53573","11001","Jean LaFleur"
"53573","190955","Tommy"
"53573","19265","Morgenstern"
"53573","379","Tad"
"53573","4944","Krapotkin"
"53573","8007","Miroslav Lokar"
"53573","9654","Mashkov"
"53573","9714","Peter Beaupre"
"53584","11185","Braddock"
"53584","11412","Earl"
"53584","17443","Deputy Sheriff"
"53584","8009","Lieutenant Frank Moran"
"53585","10399","Mrs. Norris"
"53585","8009","Rachel Ellenstein"
"53591","10160","Dr. Moore"
"53591","8010","Hamlet"
"53595","8010","Doctor"
"53601","8012","Dick Allen"
"53","60304","Berringer"
"536099","9070","Aisha Campbell"
"536099","9070","Yellow Ranger"
"536137","9318","Le marchand phénicien (voice)"
"53646","1018","Waitress at Winkies (Diane"
"53646","1018","Betty) (as Melissa Crider)"
"53646","12149","Becky Meiks"
"53646","8046","Robin"
"53647","10661","Gail"
"53647","15592","Leona Bloom"
"53647","16113","Sylvia Goldman"
"53647","8046","Mother"
"53647","8346","Maria Portokalos"
"53647","8989","Irene Moffitt"
"53650","100402","Sam Wilson"
"53650","100402","Falcon"
"53650","11170","Nate Ruffin"
"53650","12162","Sgt. JT Sanborn"
"53650","13027","Major William Bowman"
"53650","134374","Adrian Doorbal"
"53650","146238","Shavers"
"53650","38050","Harry Mitchell"
"53650","39254","Finn"
"53650","49527","Mike Ackerman"
"53650","58547","Anthony Irine"
"53650","63492","Tom Piper"
"53650","65","Papa Doc"
"53650","70","Shawrelle Berry"
"53650","72331","Will Johnson"
"53650","7859","Frank"
"53650","82682","Coleman Harris"
"53650","9074","Booty"
"53650","9959","Billy Williams"
"5365","10687","Pvt. Miter"
"5365","1164","Officer at Border Crossing"
"5365","11702","Loco"
"5365","119283","Ross"
"5365","12088","Nino Gomez"
"5365","12569","Step"
"5365","13090","Winston"
"5365","13475","Ayel"
"5365","15092","El Huron"
"5365","157353","Martin"
"5365","16617","Vince Sherman"
"53651","7859","Isabel"
"5365","1809","Rupert"
"5365","18476","Stingray"
"5365","2100","Cp. Ramov Aguilar"
"5365","22821","Romeo"
"53652","7859","Mike"
"53652","8617","Ronnie Heflin"
"5365","398","Perry Smith"
"5365","43549","Nix"
"5365","6072","Cesar Sanchez"
"5365","68726","Ops Tendo Choi"
"5365","7445","Maj. Cavazos"
"53660","25866","Lino"
"53669","17466","Guard Keller"
"53669","7345","Mr. Bandy"
"5367","10440","Nick Lipton"
"5367","231576","Aidan Bloom"
"53672","7913","Sonia"
"5367","401","Andrew Largeman"
"53674","20453","Raju"
"53674","7913","Sukhi"
"53676","7913","Laxman Pandey"
"5367","68728","Frank"
"5367","68728","Finley"
"5367","7511","Michael"
"536","77","Leonard's Wife"
"5367","9982","Chicken Little"
"53684","10661","Yosi"
"53684","8051","Walter the Dentist"
"53684","8873","Concert Nerd"
"53684","89492","CAt"
"53684","9614","IRS Agent"
"53684","9678","Beefy"
"53688","10748","Polly"
"53688","58595","Greta"
"53688","8054","Valentina"
"5369","401","Restaurant Manager"
"5370","26171","David"
"5370","401","Waiter"
"5370","60599","Peter Miller"
"537","10606","Barney"
"537","13166","Uncle Neil"
"537","13476","George Ruddy"
"537","137","Ned Ryerson"
"53714","10528","Irene Adler"
"53714","10625","Regina George"
"53714","109099","Christine"
"53714","11036","Allie Hamilton"
"53714","11460","Lisa Reisert"
"53714","11852","Jessica Spencer"
"53714","11852","Clive Maxtone"
"53714","122906","Mary"
"53714","157849","Annabel Richter"
"53714","16995","Della Frye"
"53714","24420","Clare Abshire"
"53714","38357","Becky Fuller"
"53714","58574","Irene Adler"
"53714","59436","Inez"
"53714","60281","Jane"
"53714","72570","Paige"
"53714","9043","Amy Stone"
"53714","9522","Claire Cleary"
"537","1541","Max"
"537","1632","Clayton Townley"
"537","1727","Joe Weyburn"
"537","18129","Jeweler"
"537","2322","Werner Brandes"
"5372","401","Dr. Cohen"
"537","26388","Alan Davenport (voice)"
"537","2687","Warren Singleton"
"537","402","Dr. Lamott"
"5374","113833","Tommy Boatwright"
"5374","231576","Paul"
"5374","401","Tim"
"5374","64328","Human Walter"
"5374","73937","Crane"
"5374","9842","Classmate"
"537506","4475","Don Sexton"
"537506","604","Councillor West"
"537506","605","Councillor West"
"5375","19913","McKenzie"
"5375","39939","College Boy 3"
"5375","401","Karl Benson"
"5375","44040","Salesman"
"53755","18239","Esme Cullen"
"53755","239471","PJ Lane"
"53755","24021","Esme Cullen"
"53755","4012","Miriam"
"53755","50619","Esme Cullen"
"53755","50620","Esme Cullen"
"53755","57157","Beth Slade"
"53755","64678","Charlotte Howe"
"53755","8066","Athena"
"53755","84306","Ana"
"53755","8966","Esme Cullen"
"5375","9683","Flipper Boy"
"5375","9927","Winston"
"5376","10678","Kate Sanderson"
"53761","217993","Barry Allen"
"53761","217993","The Flash (voice)"
"53761","46198","Ethan Reed"
"5376","1599","Mrs. Hooten"
"53761","8067","Walt"
"5376","38408","Helen Berenson"
"5376","401","Carol"
"5376","4244","Deirdre Lefever"
"5376","51786","Dr. Ann Possible (voice)"
"53765","8068","Niño"
"53","76640","Burrell"
"5376","82696","Eileen, Kay's Friend"
"53768","8069","The Great Tyrant"
"5376","9066","Mrs. Dena Dittmeyer"
"5377","1372","Commander Rambo"
"5377","14326","Jean's Lover"
"5377","2313","Damien"
"5377","32823","Smiling African Drummer"
"537","73723","Uncle Ubb (voice)"
"5377","401","Titembay"
"5377","68718","D'Artagnan"
"537","77","Sammy"
"5377","8488","Tanis"
"537","82703","Principal Purdy"
"537","8438","Mr. Henkin"
"537","8920","Happy Chapman"
"537","9008","Eric Kluster"
"537","9605","Mitch Myerson"
"53","80389","Frank"
"53806","10655","Maj. G. Moxley Sorrel"
"53807","14012","Male Prefect"
"53807","37799","Cameron Winklevoss"
"53807","37799","Tyler Winklevoss"
"53807","57201","John Reid"
"53807","57201","The Lone Ranger"
"53807","62764","Prince Andrew Alcott"
"53807","88794","Clyde Tolson"
"538","10796","Nurse Besson"
"53814","12795","Nico"
"53814","8092","Arthur Gayle"
"53815","8095","Agrippa"
"53817","8095","Brutus"
"53","81796","Scott Langral"
"53818","8095","High Priestess"
"53819","11843","Chief of Lugash Police"
"53819","8095","Pothinus (as Gregoire Aslan)"
"53820","157370","David Kammerer"
"53820","18501","Ken Castle"
"53820","244509","Richard Dane"
"53820","9620","Agent Klein"
"53","8224","Dino Velvet"
"538228","6404","Kapitän"
"538","2758","Ellen Buckman"
"53828","12153","Lisa"
"53828","136911","Kelsey Walker"
"53828","13812","Angela Vidal"
"53828","257346","Natasha Romanoff"
"53828","257346","Black Widow"
"53828","41283","Woman"
"53828","74998","Trudy"
"53828","79548","Sharon Ames"
"53828","8643","Emily Rose"
"5384","12657","Muggsy"
"5384","12888","Shameek"
"5384","13990","Percy"
"538","4379","Therapist"
"5384","401","Diego"
"5384","57431","Jacolby"
"53846","31175","Nadine Kruger"
"5384","8386","Silas P. Silas"
"5385","13702","Dora"
"5385","401","Aunt Sylvia Largeman"
"53862","50359","Samantha O'Hare"
"53863","11452","Vernon"
"53863","14301","Moist (3 episodes, 2008)"
"53863","6575","Dreidel L'Chaim"
"538","77","Mrs. Jankis"
"53","8838","Shayes"
"53887","1382","Robby Swersey"
"53890","1382","Heather"
"53891","1382","Rebecca"
"53891","204349","Samantha"
"53","8961","Alexei"
"53904","184314","Georges"
"53904","27579","Pavel"
"53904","6312","Beauterne"
"539","10090","Lieutenant Jim Dangle"
"539","11451","Larry Murphy"
"539","13173","Scotty Pale"
"539","138832","Rick Nathanson"
"539","159092","Father Padrigo"
"53916","11386","Dave"
"53916","11831","Lieutenant Gedney"
"53916","12700","Sergeant Major"
"53916","13446","Danny the Dealer"
"53916","18947","Bob"
"539","16538","Doug"
"53916","59963","Brady"
"53916","8077","Aaron"
"53916","81005","General Entin"
"53916","86825","Sheriff Howard"
"539","16996","Ned Gold"
"53916","9991","Burton"
"53917","10049","Werner"
"53917","210479","Cassidy"
"53917","258251","Mr. Smith"
"53917","8077","Morse"
"53918","11237","Gail Stern"
"53918","12253","Half & Half"
"53918","13435","Berta Davenport"
"53918","24804","Gloria"
"53918","24804","Gloria Gray"
"53918","6479","Zoe Neville"
"53922","10304","Cpl. Joe Griff"
"53922","132137","Charles"
"53923","11978","Jo"
"53923","12277","Sistah Girl"
"53923","14325","Marie Davis"
"53923","1677","Mary Ann Fisher"
"53923","46541","Rachel"
"53923","50014","Yule Mae Davis"
"53923","50671","Sydney"
"53923","9959","Felicia"
"53926","13477","Lance"
"53926","8193","Napoleon Dynamite"
"53926","9007","Darryl"
"53926","9297","Reginald 'Skull' Skulinski (voice)"
"53926","9408","Chicken Joe"
"53926","9842","Roger"
"53926","9955","Jimmy MacElroy"
"53926","9957","Clark"
"53927","8193","Kip Dynamite"
"53928","77016","Bonita"
"53928","8193","LaFawnduh"
"53928","9923","Lashindra Davis"
"53929","10118","Ava Marchetta"
"53929","8193","Summer"
"53930","10449","Jessica Green"
"53930","10464","Molly Singer"
"53930","177494","Cindy Mac Mackenzie"
"53930","30923","Alice"
"53930","8193","Deb"
"53930","9804","Enola"
"53932","8193","Don"
"53936","157354","Sophina"
"53936","18176","Clara"
"53936","4953","Alma"
"53936","8194","Young Laurie"
"53937","152790","Jane"
"53937","8194","Aunt Mary"
"53937","97367","Malena"
"53939","52015","Kevin"
"53939","8194","Guiseppe"
"53940","40161","Marco Ballani"
"53940","8194","Antonio's Father"
"539","52067","Roger Lemke"
"539","55465","Todd"
"53955","8195","Natacha Kirilova"
"53","95","Lev Andropov, Russian Cosmonaut"
"53963","12139","Henry Mitchell"
"53963","20048","Derek Smeath"
"53963","26505","Armand"
"53963","42949","Armand"
"539","63492","Dr. Barrett Ingold"
"53963","8838","Dean Crandell"
"53963","9879","Erb Crandal"
"53963","9890","Ted Van Sant"
"539","7453","Eddie the Computer"
"53974","8079","Pappau Master"
"53975","185008","Naina"
"53975","205022","Meena"
"53975","8079","Shanti Priya"
"539","76494","Craig"
"539","77","Doctor"
"53978","8079","Himself"
"539","8960","Mike"
"53","9963","Dr. Roth"
"539","9750","Karl Wolfschtagg"
"53998","34480","Holly"
"53998","9392","Holly"
"539","9919","Thayer"
"540","105077","Leoben Conoy"
"5401","10911","Col. Andrea Stavros"
"5401","26842","Hamza"
"540","13250","Det. McGill"
"5401","405","Zampanò"
"54014","137094","Sergey Dostal"
"54014","14924","Malcolm"
"540","14396","Shaw"
"54014","4824","Terek Murad"
"540","157841","Father"
"5401","75834","Zeus"
"540","1946","Hugo Carlaw"
"5401","947","Auda abu Tayi"
"540","1954","Jason Treborn"
"5401","9560","Don Pedro Aragón"
"5401","9593","Tony Vivaldi"
"54023","19898","2nd Lieutenant (Team 4)"
"54023","34069","Miyuki Yoshida"
"54023","8202","Inari"
"5402","405","Gelsomina"
"54024","245775","Karl Lagerfeld"
"54024","8202","Claudius"
"540281","67660","Gail"
"540","28355","Edward Sullivan"
"5403","10322","Vladimir Skrapinov"
"5403","10339","Ishmael"
"5403","405","Il 'Matto'"
"540","36648","Asher Talos"
"54041","12143","Jesus"
"54041","8197","Joe Odom"
"5404","405","Il Signor Giraffa"
"54044","11908","Shannon Permatteo"
"54044","8197","Sara Warren"
"540747","408","Prince"
"540","77","Dodd"
"540","8836","Janke Dacyshyn (2nd Abductor)"
"540","9785","Detective Brian Larson"
"5411","146304","Robyn"
"5411","14736","Monica Wright"
"5411","16158","Alicia"
"5411","17740","Diana"
"5411","2116","Ann Merai Harrison"
"5411","36647","Vanessa"
"5411","39538","Aubrey Cheever"
"5411","395","Alexa Woods"
"5411","6522","Daisy"
"5412","10934","Marcello"
"54122","10328","Bess McCarthy"
"54122","11285","Bess McCarthy Selwyn"
"54123","10236","George Bissinger"
"5412","34494","Alessandro 'Alex' Belli"
"54123","8845","Capt. Adams"
"5412","395","Sebastian de Rosa"
"54124","210047","Denise"
"54124","28089","Mrs. Flanigan"
"54124","72890","Librarian"
"54124","9829","Georgine Rose Corrigan"
"54126","16258","Jenna Reide"
"54126","9517","Lisa Connelly"
"54126","9676","Martha Linscott"
"54127","8769","Mr. Casey"
"5414","13056","Paul Budiansky"
"5414","14476","Louis"
"5414","1450","Powell"
"5414","1576","One"
"5414","29917","Invigilator"
"5414","36643","Charles Robinson"
"5414","36669","Charles Robinson"
"5414","395","Maxwell Stafford"
"5414","714","Charles Robinson"
"5414","71679","James 'One' Shade"
"5414","8848","Hakim Jamal"
"54153","11906","Mark"
"54159","8224","Mrs. Christian"
"5416","395","Adele Rousseau"
"54165","8265","Julie Abrams"
"54167","8265","Madame Bailleul"
"54168","48034","Juliette"
"54168","8265","Annabelle Deconninck"
"54170","169020","Gendarme centre de rétention"
"54170","248507","Guillaume Lempreur"
"54170","250349","Jean-Michel"
"54170","8265","inspecteur Lebic"
"54182","17134","Erica Kessen"
"5419","13291","Omar"
"5419","14869","Breaker"
"5419","1599","Translator"
"5419","168672","Irv's Sheik Plant"
"5419","2023","Prince Bin Al Reeh"
"5419","37430","Ela-Shan"
"54193","8270","Deputy Ted"
"5419","406","Saïd"
"5419","53923","Aroui"
"5419","7461","Suarez"
"54198","8270","Marty"
"54","21641","Jimmy Gordon"
"54217","8270","Alison Pratt"
"54227","11156","Adrienne Chanel"
"54228","12169","Fleur"
"54228","136403","Rose Pamphyle"
"54229","8270","Department store clerk"
"54246","109421","Banks' Partner #1"
"54246","12658","Stephen, Alice's Husband"
"54246","3902","Morris Bernstein"
"54246","3902","Barker"
"54246","43347","California Man"
"54246","8272","Larry"
"54246","9605","Graham Knox"
"54246","9620","Attorney General Brown"
"54246","9959","Lt. Gold"
"54247","12182","Thom"
"54247","13207","Chewie"
"54247","13990","Justin"
"54247","18501","Humanez Dude"
"54247","19794","-UnKnown-"
"54247","212231","Brendan Butler"
"54247","39037","Steve-O"
"54247","8065","Choi"
"54247","8271","Ronnie"
"5425","406","Le chauffeur de taxi"
"5425","8265","le garçon du restaurant"
"54274","152760","Rene Armand"
"54274","15588","Staman"
"54274","59118","Lafay"
"54291","10795","Bruno"
"54291","12169","Le rasta blanc"
"54291","13635","Paul"
"54291","248611","Franck"
"54291","35552","Inspecteur Caponi"
"54291","48034","Eric"
"54291","61404","Samuel Pierret"
"54291","8279","Franky"
"54291","8424","Sergei Nimov Nimovitch"
"54291","89899","Greg"
"54291","89899","Nicolas"
"54291","89899","Bernard"
"54291","89899","Antoine"
"54291","89899","Eric"
"54292","241875","Rose"
"54292","27936","La Môme Caoutchouc"
"54292","41211","Mélanie"
"54292","77459","Madame Carlotta"
"54292","8279","Caroline"
"543140","45243","Kimmy"
"543159","167449","Bai Li"
"543193","10952","Keisha"
"543193","19724","Lori Strother"
"543193","9529","Anne-Marie McCoy"
"543204","8874","Isabelle Wallace"
"54324","219318","Valérie"
"54324","248507","Isabelle"
"54324","48034","Véronique Cantara"
"543256","1429","Khari"
"543256","35169","Gus"
"543261","118340","Nebula"
"543261","157547","Kaylie Russell"
"54327","139933","Xenia"
"543366","86837","Nurse #2"
"543366","89455","Valentina"
"543505","135397","Lowery"
"543505","137106","Barry (voice) (as Jake Johnson)"
"543505","172533","Luke"
"543505","193893","Ryan Davis"
"543505","195589","Sebastian Cremmington"
"543505","41630","Eli"
"543505","64688","Principal Dadier"
"543505","84332","Jeff Schwensen"
"543530","118340","Drax"
"543530","78049","Argomael"
"543530","87421","Diaz"
"543530","97430","Brass Body"
"543","7300","Ruta"
"54376","11680","Le commissaire"
"54376","25866","Martial"
"54376","8290","Le gardien du zoo de Vincennes"
"54376","9317","le brigadier-chef"
"54377","8290","Mme Germaine, patronne de l'hôtel"
"543","77","Tattooist"
"544078","184315","Megara"
"544088","129","Aniyaku"
"5441","2332","Alain"
"5441","2334","Alain"
"5441","2335","Alain"
"5441","2899","Nexusis"
"5441","406","Darty"
"54414","189197","PFC Bill Hoosier Smith"
"5441","48034","L'ami de Ludo au Baron"
"54414","8065","Fisher"
"54414","8665","Grigori"
"54414","9352","Cooper Harris"
"54415","10186","Matt Gadman"
"54415","109445","Olaf (voice)"
"54415","112200","Neil"
"54415","115782","Steve Wozniak"
"54415","116741","Headphones"
"54415","231576","Noah"
"54415","43347","Josh Randall"
"54415","57800","Louis (voice)"
"54415","8065","Miles"
"54416","8065","Cam"
"54416","9310","Omer"
"5441","9280","Racine"
"5442","10798","Capitaine Antoine Walk'n Marchelli"
"54421","12107","Denise Gaines"
"54421","35688","Patricia"
"5442","13741","Le commissaire"
"5442","1791","Walter Klemmer"
"54422","16136","Bishop"
"5442","406","Benoît"
"54424","16781","May"
"54424","28004","May"
"5442","48034","Vincent Ribaud"
"5442","60672","capitaine Reda"
"544","272","Finch"
"5442","74513","Tic-tac"
"5442","85870","Paul Lederman"
"5443","10800","Lian-Chu"
"5443","11986","Richard le jeune policier"
"5443","14556","Julien"
"5443","15712","Simon"
"544","320","Farrell"
"5443","248611","Simon"
"5443","406","L'homme saoul"
"5444","10226","The Killer"
"5444","10353","Le gérant du supermarché"
"5444","10800","Le Seigneur Arnold"
"5444","35552","Professeur Ménard"
"5444","406","Le chef de la police"
"5444","60670","Homme à la station service"
"5444","6312","Jean Chastel"
"54447","13654","Pongo"
"54447","7131","Dr. Victor Frankenstein"
"5444","979","Philippe"
"54450","11589","Moriarty (tank crewman)"
"54450","9660","Ernest Hunkle"
"5445","13672","L'homme au bonnet"
"5445","157820","Le vieil homme de l'usine d'armement"
"5445","1826","M. Boubaker"
"5445","206408","M. Boubaker"
"5445","2899","Le carreleur"
"5445","406","L'Officier de Police"
"5445","50848","Mohamed Benmahmoud, le père de Bahia"
"54455","16406","Larry Jobs"
"54455","602","Philip"
"5445","59118","Lucciani"
"54456","2616","Additional Voices (voice)"
"544572","938","Tucumcari sheriff"
"5445","8265","Momo"
"5445","8279","Mourad"
"54470","10806","Vicky"
"54470","15037","Denise"
"54470","16523","KW (voice)"
"54470","50647","Almond"
"54470","52505","Mindy"
"54470","84340","Abby"
"54476","161321","Brown"
"54476","62764","Napoleon"
"54476","8275","Rock"
"54476","8321","Jimmy"
"544","77","Jimmy"
"54479","1252","Rainelle Downing"
"54479","1265","May Belle Aarons"
"54479","45094","Young Betty Anne"
"54479","46261","Sally Hirst"
"54479","50546","Maggie"
"544797","11143","Chin Bo"
"544797","17809","Hou Ting-An"
"544797","210911","Chin Siu-Ho"
"54479","7445","Isabelle Cahill"
"544797","62977","Yan Liang"
"54479","88042","Harper Simmons"
"54482","1265","Janice Avery"
"54485","1265","Bill Burke"
"54495","11358","Pete Vaughn"
"54495","8326","Hector Zeroni"
"54496","8326","Squid"
"54498","8326","X-Ray"
"54499","101669","Annette Langston"
"54499","17532","Corey"
"54499","243683","Andie"
"54499","26688","Cassidy"
"54499","8328","Andie West"
"54500","16617","Rafe Perry"
"54500","60170","Bobby Gilbert"
"54500","7131","Velkan"
"54500","8328","Blake Collins"
"54502","8328","Sophie Donovan"
"54503","243683","Moose"
"54503","41233","Moose"
"54503","80271","Max"
"54503","8328","Moose"
"54503","85446","Moose"
"54505","8328","Felicia"
"545180","18940","Aline"
"545180","19955","Carole"
"54519","8329","César"
"54533","52587","Nora"
"54564","10351","Homeless Man"
"54564","105","Red Thomas - the Bum"
"54564","790","Tommy Wallace"
"54564","8337","Drifter"
"54564","9663","Cook"
"54565","8337","Street Preacher"
"5457","408","Doc"
"54586","16871","Trudy Dalton"
"54586","2105","Jim's Mother"
"54586","2770","Jim's Mother"
"54586","71552","Jim's Mother"
"54586","8273","Jim's Mother"
"54587","10591","April"
"54593","13805","Prince"
"54593","8274","Matt Stifler"
"54594","18126","Jackson Rod Stewart"
"54594","2059","Thomas Gates"
"54594","22084","Merv"
"54594","8274","Ernie"
"54595","8274","Sheree"
"5460","1585","Singer at Martini's (uncredited)"
"5460","408","Snow White"
"5461","408","Dopey"
"54620","121642","Doctor"
"54620","8342","Ciki"
"5462","13465","Ichabod Crane (screaming)"
"54621","8342","Nino"
"54622","8342","Cera"
"54623","8342","Marchand"
"5462","408","Sleepy"
"5462","408","Grumpy"
"54634","11804","Anna Rivers"
"5464","3085","Joe Pettibone"
"5464","408","Sneezy"
"54645","23049","Georgia"
"54645","59861","Map Genie"
"54645","8346","Toula"
"54645","84200","Rachel Rodman"
"5464","914","Field Marshal Herring"
"54649","8346","Nick Portokalos"
"54649","9103","Riggi"
"54651","8346","Angelo"
"5465","3170","Mr. Mole"
"5465","408","Happy"
"54675","12169","Marie-Jeanne"
"54675","146375","Morland"
"54675","171","Catherine"
"54675","199643","Victoire"
"54679","350","Jocelyn"
"54681","10973","Mark Williams"
"54681","8356","Kenneth Bradley"
"54682","8356","Lois Clark"
"54683","1712","Judge Oliver Whiteside"
"54683","8356","Ned Hathaway"
"5469","101173","Caius Martius Coriolanus"
"54691","10191","Fishlegs"
"54691","109414","Christopher Mintz-Plasse"
"54691","114150","Tommy"
"54691","129139","Duffy"
"5469","11450","Charles Van Doren"
"54691","15373","Augie Farks"
"54691","17610","Isaac"
"54691","195589","Scoonie"
"5469","120467","M. Gustave"
"5469","12162","Mercenary Team Leader"
"5469","121674","Magwitch"
"54691","23483","Chris D'Amico"
"54691","23483","Red Mist"
"5469","12444","Lord Voldemort"
"5469","12445","Lord Voldemort"
"5469","12783","Duke of Devonshire"
"54691","38579","Giuseppe (voice)"
"54691","47626","Fishlegs (voice)"
"54691","58151","Ed Thompson"
"54691","59859","Chris D'Amico"
"54691","59859","The Motherfucker"
"54691","77174","Alvin"
"54691","82702","Fishlegs (voice)"
"54691","8363","Fogell"
"54691","87818","Mikey (segment Middleschool Date)"
"5469","18823","Hades"
"54691","91417","Fishlegs (voice)"
"5469","1985","Justin Quayle"
"54692","18405","Paige"
"5469","281","Lenny Nero"
"54692","8363","Becca"
"54693","10186","Amelia"
"54693","102382","Gwen Stacy"
"54693","12556","Allison Vandermeersh"
"54693","12620","Natalie"
"54693","1930","Gwen Stacy"
"54693","19908","Wichita"
"54693","229297","Sophia"
"54693","37735","Olive Penderghast"
"54693","38579","Mazie (voice)"
"54693","39414","Abby"
"54693","49519","Eep (voice)"
"54693","50014","Eugenia 'Skeeter' Phelan"
"5469","35019","Lord Gray"
"54693","50544","Kayla"
"54693","50646","Hannah"
"5469","36801","Mr. Kendrick"
"5469","37724","Gareth Mallory"
"5469","37724","M"
"54693","82682","Grace Faraday"
"54693","8363","Jules"
"54693","87818","Veronica (segment Veronica)"
"5469","409","Count László de Almásy"
"5469","424","Amon Goeth"
"5469","533","Victor Quartermaine"
"5469","57165","Hades"
"5469","674","Lord Voldemort"
"5469","675","Lord Voldemort"
"54697","137106","Wally (voice)"
"54697","187017","Eric Molson"
"54697","195589","Pete"
"5469","7303","Christopher Marshall"
"5469","73358","Alec Beasley"
"54697","37950","Sully"
"54697","58151","Mark"
"54697","64688","Eric"
"54697","75656","Jack Wilder"
"54697","82654","Perry"
"54697","8363","Greg (Soccer Player"
"54697","8363","Fußballspieler)"
"5469","8055","Michael Berg"
"5469","8321","Harry"
"5469","9320","John Steed"
"5469","9533","Francis Dolarhyde"
"5469","9613","Spider"
"5469","9837","Ramesses II"
"5470","10497","Fiona"
"5470","10795","Hélène Perkins"
"5470","11457","Robin Kimball"
"5470","11540","Joséphine"
"5470","12184","Lady Elizabeth Boleyn"
"5470","121875","Jeanne"
"5470","13741","L'antiquaire"
"5470","14400","Ann Ferguson"
"5470","16899","Mrs. Whittaker"
"5470","20048","Alette Naylor"
"5470","21427","Christine Levasseur"
"5470","2268","Stelmania"
"5470","33511","Mimi Smith"
"5470","409","Katharine Clifton"
"54704","8363","Good Shopper Cashier"
"5470","5279","Sylvia McCordle"
"5470","53457","Julia Jarmond"
"5470","547","Annie MacLean"
"5470","712","Fiona"
"5470","77987","Jenna"
"5470","81025","Patricia Maxwell"
"54708","16538","Zooey's Friend"
"54708","195589","Paula"
"54708","34423","Stacy"
"5470","86467","Virginie Walters"
"54708","74465","Rhonda"
"54708","8363","Period Blood Girl"
"54708","9870","Gag Me Girl"
"5470","9305","Narrator (English version) (voice)"
"5470","954","Sarah Davies"
"5470","9687","Gloria Goodfellow"
"54710","8363","Tut Long John Silver"
"54711","10253","Reporter"
"5471","118289","Hasnat Khan"
"54711","39013","Little Arthur"
"54711","8363","Patrick Manchester"
"5471","1992","Abby"
"5471","28005","Raj Singh"
"5471","409","Sikh Kip"
"5471","4413","David Kirmani"
"5471","57825","Balraj"
"54718","8363","Mrs. Hayworth"
"5471","9822","Pindi"
"5472","10735","Henry Dashwood"
"5472","10748","Geoffrey Thwaites"
"5472","11283","Mr. Brown"
"5472","11631","Harry Bright"
"5472","127560","Eric Lomax"
"5472","12900","Dr. Wilhelm Stuckart"
"5472","13401","Richard Bratton"
"5472","152792","Ron Lax"
"5472","164721","Mr. Darcy"
"5472","16899","Mr. Whittaker"
"5472","17979","Fred"
"5472","1934","Lord Wessex"
"5472","229297","Stanley"
"5472","23488","Lord Henry Wotton"
"54722","8363","Young Becca"
"54722","9667","Young Jackie"
"5472","34653","George"
"5472","3635","Johannes Vermeer"
"5472","37565","Geoffrey Thwaites"
"5472","37606","Valmont"
"5472","409","Geoffrey Clifton"
"5472","45269","King George VI"
"5472","49517","Bill Haydon"
"5472","508","Jamie Bennett"
"54725","15092","Pornstar on Strike"
"54725","8363","Vagtastic Voyage Girl #2"
"5472","634","Mark Darcy"
"54728","18162","Teacher"
"54728","186606","Professor Palladino"
"54728","230222","Smith"
"54728","249923","Minister Hagen"
"54728","8363","Elementary Principal"
"5472","9026","John Worthing („Jack“)"
"54729","115283","Trey"
"54729","13523","Lance"
"54729","23048","Jacob"
"54729","23483","Marty"
"54729","49519","Thunk (voice)"
"54729","59859","Marty Eisenberg"
"54729","59859","Battle Guy"
"5472","9703","Aurelius"
"54729","72358","Aaron Wiseberger"
"5472","97434","Harry Deane"
"5472","9801","Mark Darcy"
"54729","8363","Party Teenager #1"
"5473","11026","Major Granville"
"5473","12700","Major Granville"
"5473","2518","Hauptmann Karl Mayr"
"54732","8363","Teacher"
"5473","409","Madox"
"54738","10529","Wulfric"
"54738","12271","Gerard Malanga"
"54738","14456","Jake"
"54738","157370","Jack Kerouac"
"54738","160139","Amadeu"
"54738","168672","Pete Musane"
"54738","36939","Jo Richards"
"5473","9017","Hunt"
"5474","409","Hardy"
"5475","1024","Dr. Henry Hulme"
"5475","10724","Major Lanyev"
"5475","2360","Quentin Rhodes"
"5475","409","Fenelon-Barnes"
"54754","10502","Mrs. Cooper"
"54758","18570","Himself"
"5476","409","D'Agostino"
"54782","10436","Regina Beaufort"
"54782","16248","Joyce Richardson"
"54782","57157","Jan"
"54782","8090","Stella Marsh"
"54782","8643","Judge Brewster"
"54782","8649","Constance"
"54782","9697","Mrs. Bell"
"54789","12665","Jeremy 'Powder' Reed"
"54789","152259","Tyrtov"
"54789","22821","Connor MacManus"
"54789","41439","Bobby Dagen"
"54789","8374","Connor McManus"
"54790","22821","Rocco"
"54790","8374","Rocco"
"54791","22821","Detective Dolly"
"54791","8374","Detective Dolly"
"54791","9895","Senator Mills"
"54793","254473","George the Greek"
"54793","8374","Yakavetta"
"5479","409","Oliver"
"54799","11249","sich"
"54799","8386","Jamal King"
"54800","10426","Mrs. Jones"
"54800","10634","Mrs. Jones"
"54800","11092","Eugenia"
"54800","12107","Denise's Mother"
"54800","7300","Evelyn"
"54800","8386","Mamma King"
"5480","409","Mary"
"54805","7840","Baku"
"548085","10649","Bobby Maxwell"
"548089","10650","Officer Bennett"
"54810","184315","Iolaus"
"54810","7840","Moha"
"54810","7980","Ray Singh"
"54810","9543","Bis"
"54812","11153","Clark Griswold"
"54812","11418","Clark Griswold"
"54812","11419","Clark Griswold"
"54812","11857","Principal Harbert"
